Compound Name	InChiKeys	Pubchem ID	SMILES	pvalue	foldchange
Octanoylcarnitine	CXTATJFJDMJMIY-UHFFFAOYSA-N	123701	CCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C	0.63838	1.2263
Oleoyl L-carnitine	IPOLTUVFXFHAHI-WHIOSMTNSA-N	46907933	CCCCCCCC/C=C\CCCCCCCC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C	0.64837	1.0394
Palmityl-L-carnitine	XOMRRQXKHMYMOC-OAQYLSRUSA-N	11953816	CCCCCCCCCCCCCCCC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C	0.65139	1.0447
Acylcarnitine C12:0 	FUJLYHJROOYKRA-QGZVFWFLSA-N	168381	CCCCCCCCCCCC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C	0.67882	0.77557
Decenoylcarnitine	GOOOCIIXFLVRAG-UHFFFAOYSA-N	53481651	C[N+](C)(C)CC(CC(=O)[O-])OC(=O)CCCCCCCC=C	0.68805	1.2072
Acetylcarnitine	RDHQFKQIGNGIED-UHFFFAOYSA-N	1	CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C	0.75537	1.0897
Hexadecanoylcarnitine	XOMRRQXKHMYMOC-OAQYLSRUSA-N	11953816	CCCCCCCCCCCCCCCC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C	0.78415	0.97289
Decanoylcarnitine	LZOSYCMHQXPBFU-UHFFFAOYSA-N	10245190	CCCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C	0.78662	1.1884
Lauroyl L-carnitine	FUJLYHJROOYKRA-QGZVFWFLSA-N	168381	CCCCCCCCCCCC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C	0.89857	1.1095
Acylcarnitine C18:0 	FNPHNLNTJNMAEE-UHFFFAOYSA-N	6426855	CCCCCCCCCCCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C	0.90161	1.0357
Propionylcarnitine	UFAHZIUFPNSHSL-UHFFFAOYSA-N	107738	CCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C	0.98895	1.0772
19,20-DiHDPE	FFXKPSNQCPNORO-MBYQGORISA-N	16061148	CCC(C(C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O)O)O	0.052415	1.4202
arachidonic acid	YZXBAPSDXZZRGB-DOFZRALJSA-N	444899	CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O	0.062875	1.085
PGF2alpha	PXGPLTODNUVGFL-YNNPMVKQSA-N	5280363	CCCCC[C@@H](/C=C/[C@H]1[C@@H](C[C@@H]([C@@H]1C/C=C\CCCC(=O)O)O)O)O	0.087442	0.89898
8,9-DiHETrE	DCJBINATHQHPKO-TYAUOURKSA-N	5283144	CCCCC/C=C\C/C=C\CC(C(C/C=C\CCCC(=O)O)O)O	0.090551	1.1682
PGE1	GMVPRGQOIOIIMI-DWKJAMRDSA-N	5280723	CCCCC[C@@H](/C=C/[C@H]1[C@@H](CC(=O)[C@@H]1CCCCCCC(=O)O)O)O	0.22898	0.8612
5S-HEPE	FTAGQROYQYQRHF-GHWNLOBHSA-N	5283193	CC/C=C\C/C=C\C/C=C\C/C=C\C=C\[C@H](CCCC(=O)O)O	0.26244	1.3071
11-HETE	GCZRCCHPLVMMJE-RSPKXIRXSA-N	5312981	CCCCC/C=C\C=C/[C@@H](C/C=C\C/C=C/CCCC(=O)O)O	0.29852	0.94716
9-HETE	KATOYYZUTNAWSA-OIZRIKEUSA-N	14123398	CCCCC/C=C\C/C=C\CC(/C=C/C=C\CCCC(=O)O)O	0.30295	0.87708
11,12-DiHETrE	LRPPQRCHCPFBPE-KROJNAHFSA-N	5283146	CCCCC/C=C\CC(C(C/C=C\C/C=C\CCCC(=O)O)O)O	0.33053	1.0834
Methyljasmonate	GEWDNTWNSAZUDX-WQMVXFAESA-N	5281929	CC/C=C\C[C@@H]1[C@H](CCC1=O)CC(=O)OC	0.33123	1.0252
4-HDoHE	IFRKCNPQVIJFAQ-PQVBWYSWSA-N	14429109	CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C=C\C(CCC(=O)O)O	0.36185	1.122
9-HEPE	OXOPDAZWPWFJEW-IMCWFPBLSA-N	16061129	CC/C=C\C/C=C\C/C=C\CC(/C=C/C=C\CCCC(=O)O)O	0.41131	1.436
12S-HEPE	MCRJLMXYVFDXLS-UOLHMMFFSA-N	5283191	CC/C=C\C/C=C\C[C@@H](/C=C/C=C\C/C=C\CCCC(=O)O)O	0.43785	1.3189
6-trans-LTB4	VNYSSYRCGWBHLG-UKNWISKWSA-N	5283128	CCCCC/C=C\C[C@H](/C=C/C=C/C=C/[C@H](CCCC(=O)O)O)O	0.50673	0.87103
5S,15R-diHETE	UXGXCGPWGSUMNI-BVHTXILBSA-N	5283158	CCCCC[C@@H](/C=C/C=C\C/C=C\C=C\[C@H](CCCC(=O)O)O)O	0.55575	1.3307
LTB4	VNYSSYRCGWBHLG-AMOLWHMGSA-N	5280492	CCCCC/C=C\C[C@H](/C=C/C=C/C=C\[C@H](CCCC(=O)O)O)O	0.57494	0.60027
12S-HETE	ZNHVWPKMFKADKW-LQWMCKPYSA-N	5283155	CCCCC/C=C\C[C@@H](/C=C/C=C\C/C=C\CCCC(=O)O)O	0.58213	0.9312
PGD2	BHMBVRSPMRCCGG-OUTUXVNYSA-N	448457	CCCCC[C@@H](/C=C/[C@@H]1[C@H]([C@H](CC1=O)O)C/C=C\CCCC(=O)O)O	0.60192	1.2001
14-HDoHE	ZNEBXONKCYFJAF-BGKMTWLOSA-N	11566378	CC/C=C\C/C=C\CC(/C=C/C=C\C/C=C\C/C=C\CCC(=O)O)O	0.63851	1.2765
8S-HETE	NLUNAYAEIJYXRB-VYOQERLCSA-N	5283154	CCCCC/C=C\C/C=C\C=C\[C@H](C/C=C\CCCC(=O)O)O	0.66276	1.0071
15-HEPE	WLKCSMCLEKGITB-XWJJKCKWSA-N	16061131	CC/C=C\CC(/C=C/C=C\C/C=C\C/C=C\CCCC(=O)O)O	0.69438	1.4043
17-HDoHE	SWTYBBUBEPPYCX-VIIQGJSXSA-N	6439179	CC/C=C\CC(/C=C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O)O	0.70993	1.062
15-HETE	JSFATNQSLKRBCI-VAEKSGALSA-N	5280724	CCCCC[C@@H](/C=C/C=C\C/C=C\C/C=C\CCCC(=O)O)O	0.78195	0.93217
5-HETE	KGIJOOYOSFUGPC-JGKLHWIESA-N	5280733	CCCCC/C=C\C/C=C\C/C=C\C=C\[C@H](CCCC(=O)O)O	0.81066	1.1207
14,15-DiHETE	BLWCDFIELVFRJY-QXBXTPPVSA-N	16061119	CC/C=C\CC(C(C/C=C\C/C=C\C/C=C\CCCC(=O)O)O)O	0.86025	1.0222
17(18)-EpETE	GPQVVJQEBXAKBJ-JPURVOHMSA-N	16061089	CCC1C(O1)C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O	0.92721	1.2491
11,12-EpETrE	DXOYQVHGIODESM-KROJNAHFSA-N	5283204	CCCCC/C=C\CC1C(O1)C/C=C\C/C=C\CCCC(=O)O	0.94784	1.1706
17,18-DiHETE	XYDVGNAQQFWZEF-JPURVOHMSA-N	16061120	CCC(C(C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O)O)O	0.9584	1.1824
16(17)-EpDPE	BCTXZWCPBLWCRV-ZYADFMMDSA-N	14392758	CC/C=C\CC1C(O1)C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O	0.99905	1
15-HpETE	BFWYTORDSFIVKP-VAEKSGALSA-N	5280893	CCCCC[C@@H](/C=C/C=C\C/C=C\C/C=C\CCCC(=O)O)OO	0.99905	1
8(9)-EpETrE	DBWQSCSXHFNTMO-TYAUOURKSA-N	5283203	CCCCC/C=C\C/C=C\CC1C(O1)C/C=C\CCCC(=O)O	0.99905	1
5-HpETE	JNUUNUQHXIOFDA-JGKLHWIESA-N	5280778	CCCCC/C=C\C/C=C\C/C=C\C=C\[C@H](CCCC(=O)O)OO	0.99905	1
6-keto-PGF1alpha	KFGOFTHODYBSGM-ZUNNJUQCSA-N	5280888	CCCCC[C@@H](/C=C/[C@H]1[C@@H](C[C@@H]([C@@H]1CC(=O)CCCCC(=O)O)O)O)O	0.99905	1
20-HETE	NNDIXBJHNLFJJP-DTLRTWKJSA-N	123803	C(CCC=CCC=CCC=CCC=CCCCC(=O)O)CCO	0.99905	1
19(20)-EpDPE	OSXOPUBJJDUAOJ-MBYQGORISA-N	11631565	CCC1C(O1)C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O	0.99905	1
11(12)-EpETE	QHOKDYBJJBDJGY-BVILWSOJSA-N	16061087	CC/C=C\C/C=C\CC1C(O1)C/C=C\C/C=C\CCCC(=O)O	0.99905	1
14(15)-EpETE	RGZIXZYRGZWDMI-QXBXTPPVSA-N	16061088	CC/C=C\CC1C(O1)C/C=C\C/C=C\C/C=C\CCCC(=O)O	0.99905	1
15-Keto PGE2	YRTJDWROBKPZNV-KMXMBPPJSA-N	5280719	CCCCCC(=O)/C=C/[C@H]1[C@@H](CC(=O)[C@@H]1C/C=C\CCCC(=O)O)O	0.99905	1
12-HpETE	ZIOZYRSDNLNNNJ-LQWMCKPYSA-N	5280892	CCCCC/C=C\C[C@@H](/C=C/C=C\C/C=C\CCCC(=O)O)OO	0.99905	1
d4 6-keto PGF1a 	KFGOFTHODYBSGM-GKZGVFJGSA-N 	5283044	[2H]C([2H])(CC(=O)C[C@H]1[C@H](C[C@H]([C@@H]1/C=C/[C@H](CCCCC)O)O)O)C([2H])([2H])CC(=O)O	0.99905	1
d4-LTB4	VNYSSYRCGWBHLG-PHKHWAPOSA-N 	16061113	[2H]/C(=C(\[2H])/C[C@H](/C=C/C=C/C(=C(/[2H])\[C@H](CCCC(=O)O)O)/[2H])O)/CCCCC	0.99905	1
d4-PGD2	BHMBVRSPMRCCGG-DCNIGHKFSA-N	5283030	[2H]C([2H])(CC(=O)O)C([2H])([2H])/C=C\C[C@H]1[C@H](CC(=O)[C@@H]1/C=C/[C@H](CCCCC)O)O	0.99905	1
d4-PGF2a	PXGPLTODNUVGFL-MKIWGZNBSA-N 	5283029	[2H]C([2H])(CC(=O)O)C([2H])([2H])/C=C\C[C@H]1[C@H](C[C@H]([C@@H]1/C=C/[C@H](CCCCC)O)O)O	0.99905	1
LTB5	BISQPGCQOHLHQK-HDNPQISLSA-N	5283125	CC/C=C\C/C=C\C[C@H](/C=C/C=C/C=C\[C@H](CCCC(=O)O)O)O	0.99905	1
PGE2	XEYBRNLFEZDVAW-ARSRFYASSA-N	5280360	CCCCC[C@@H](/C=C/[C@H]1[C@@H](CC(=O)[C@@H]1C/C=C\CCCC(=O)O)O)O	0.99905	1
PGE3	CBOMORHDRONZRN-QLOYDKTKSA-N	5280937	CC/C=C\C[C@@H](/C=C/[C@H]1[C@@H](CC(=O)[C@@H]1C/C=C\CCCC(=O)O)O)O	0.99905	1
PGF3alpha	SAKGBZWJAIABSY-SAMSIYEGSA-N	5280940	CC/C=C\C[C@@H](/C=C/[C@H]1[C@@H](C[C@@H]([C@@H]1C/C=C\CCCC(=O)O)O)O)O	0.99905	1
Resolvin D1	OIWTWACQMDFHJG-CCFUIAGSSA-N	44251266	CC/C=C\C[C@@H](/C=C/C=C\C=C\C=C\[C@H]([C@H](C/C=C\CCC(=O)O)O)O)O	0.99905	1
1,2-Dihexadecanoyl-sn-glycero-3-phosphate	PORPENFLTBBHSG-MGBGTMOVSA-N	446066	CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)O)OC(=O)CCCCCCCCCCCCCCC	0.10346	1.0916
TG (14:0/14:0/14:0) 	DUXYWXYOBMKGIN-UHFFFAOYSA-N	11148	CCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCC	0.20108	1.0489
1-monostearin	VBICKXHEKHSIBG-UHFFFAOYSA-N	24699	CCCCCCCCCCCCCCCCCC(=O)OCC(CO)O	0.20583	1.0382
lauric acid	POULHZVOKOAJMA-UHFFFAOYSA-N	3893	CCCCCCCCCCCC(=O)O	0.23252	0.91441
pentadecanoic acid	WQEPLUUGTLDZJY-UHFFFAOYSA-N	13849	CCCCCCCCCCCCCCC(=O)O	0.269	1.0471
succinic acid	KDYFGRWQOYBRFD-UHFFFAOYSA-N	1110	C(CC(=O)O)C(=O)O	0.30322	1.0516
3-Oxo-1,8-octanedicarboxylic acid	XTQIBFVBYWIHIP-UHFFFAOYSA-N	1755	C(CCC(=O)CCC(=O)O)CCC(=O)O	0.38098	0.99807
adipic acid	WNLRTRBMVRJNCN-UHFFFAOYSA-N	196	C(CCC(=O)O)CC(=O)O	0.42515	1.0173
arachidic acid	VKOBVWXKNCXXDE-UHFFFAOYSA-N	10467	CCCCCCCCCCCCCCCCCCCC(=O)O	0.45178	0.99676
behenic acid	UKMSUNONTOPOIO-UHFFFAOYSA-N	8215	CCCCCCCCCCCCCCCCCCCCCC(=O)O	0.48115	1.0077
TG (52:0) 	SDNYRTVJOFMYIW-OIVUAWODSA-N	545690	CCCCCCCCCCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC	0.48276	0.83333
9,10-e-DiHO	VACHUYIREGFMSP-SJORKVTESA-N	441460	CCCCCCCC[C@H]([C@H](CCCCCCCC(=O)O)O)O	0.50793	1.0631
TG (50:0) 	MARPCPMDFOPPJX-UHFFFAOYSA-N	545588	CCCCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCC	0.54027	1.2584
9,10-EpO	IMYZYCNQZDBZBQ-UHFFFAOYSA-N	15868	CCCCCCCCC1C(O1)CCCCCCCC(=O)O	0.55751	0.93861
pelargonic acid	FBUKVWPVBMHYJY-UHFFFAOYSA-N	8158	CCCCCCCCC(=O)O	0.56621	1.0526
stearic acid	QIQXTHQIDYTFRH-UHFFFAOYSA-N	5281	CCCCCCCCCCCCCCCCCC(=O)O	0.61985	0.98549
myristic acid	TUNFSRHWOTWDNC-UHFFFAOYSA-N	11005	CCCCCCCCCCCCCC(=O)O	0.66905	0.94851
1-monopalmitin	QHZLMUACJMDIAE-UHFFFAOYSA-N	14900	CCCCCCCCCCCCCCCC(=O)OCC(CO)O	0.67015	0.9839
capric acid	GHVNFZFCNZKVNT-UHFFFAOYSA-N	2969	CCCCCCCCCC(=O)O	0.80947	1.0754
TG (49:0) 	TTWJTJMWHOYBPQ-ANFMRNGASA-N	9543988	CCCCCCCCCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC	0.81934	0.9431
heptadecanoic acid	KEMQGTRYUADPNZ-UHFFFAOYSA-N	10465	CCCCCCCCCCCCCCCCC(=O)O	0.82351	0.988
dodecanol	LQZZUXJYWNFBMV-UHFFFAOYSA-N	8193	CCCCCCCCCCCCO	0.89589	1.0108
palmitic acid	IPCSVZSSVZVIGE-UHFFFAOYSA-N	985	CCCCCCCCCCCCCCCC(=O)O	0.9874	1.03
TG (46:0) 	JWVXCFSNEOMSHH-UHFFFAOYSA-N	4099879	CCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC	0.9942	1.0696
TG (53:5) 	QHYAATSKYBYSLG-BXDFBOBBSA-N	9544183	CCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCC/C=C\C/C=C\CCCCC)OC(=O)CCCCCCC/C=C\C/C=C\CCCCC	0.0011618	1.5871
TG (54:6) A 	CDNDFDKFZBPPFW-AXJGXPKFSA-N	9544363	CCCCCCCC/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCC/C=C\CCCCCC)COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC	0.0015911	1.5212
TG (52:5) 	CQZAAIKPSLHIBC-KDJOUNIJSA-N	25240366	CCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCC/C=C\C/C=C\CCCCC)OC(=O)CCCCCCC/C=C\C/C=C\CCCCC	0.0020981	1.6385
TG (52:4) 	WHSWXEYWNPTUPW-HNJDVRDNSA-N	25240364	CCCCCCCC/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCC/C=C\CCCCCC)COC(=O)CCCCCCC/C=C\C/C=C\CCCCC	0.0024292	1.395
TG (52:3) 	DQXQIWIQYYEGLG-MMWLGPPDSA-N	56938177	CCCCCCCCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCC/C=C\CCCCCCCC)OC(=O)CCCCCCC/C=C\C/C=C\CCCCC	0.0035722	1.2066
TG (53:4) 	BMSDHYZLQWTKSQ-LSJAAEOESA-N	9544152	CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCC/C=C\C/C=C\CCCC)OC(=O)CCCCCCC/C=C\CCCCCCCC	0.0049187	1.4802
TG (54:5) A 	OEJXMJPFOHYSIU-GRLFFVHSSA-N	9544294	CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCC/C=C\C/C=C\C/C=C\CC)OC(=O)CCCCCCC/C=C\CCCCCCCC	0.0084176	1.2617
DG (36:3) 	BLZVZPYMHLXLHG-JOBMVARSSA-N	9543722	CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](CO)OC(=O)CCCCCCC/C=C\C/C=C\CCCCC	0.012306	1.2855
TG (53:3) 	ZNQBEJJYVJSZLM-LEDQTTRKSA-N	9544126	CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCC/C=C\CCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCCCC	0.012905	1.2483
TG (51:4) 	IIRQXNVLAXQEKB-KBEZCZBDSA-N	9544052	CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCC/C=C\CCCCCC)OC(=O)CCCCCCC/C=C\C/C=C\CCCC	0.016861	1.4461
DG (34:1) 	YEJYLHKQOBOSCP-OZKTZCCCSA-N	5282283	CCCCCCCCCCCCCCCC(=O)OC[C@H](CO)OC(=O)CCCCCCC/C=C\CCCCCCCC	0.020978	1.1865
TG (54:8) 	BMPVTDWOWBNPJU-NYRSPQLFSA-N	9544413	CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OC[C@@H](COC(=O)CCCCCCC/C=C\C/C=C\CCCC)OC(=O)CCCCCCC/C=C\C/C=C\CCCC	0.025012	1.8866
TG (50:4) 	PVMBAGXWHHZKFP-JMPJWMFJSA-N	25240359	CCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCC/C=C\C/C=C\CCCCC)OC(=O)CCCCCCC/C=C\CCCCCC	0.026829	1.4633
TG (51:3) 	ISSGPXMQOMAFMJ-DMGKHJLRSA-N	9544023	CCCCCCC/C=C\CCCCCCCC(=O)OCC(OC(=O)CCCCCCC/C=C\CCCCCCC)COC(=O)CCCCCCC/C=C\CCCCCCC	0.027748	1.3716
TG (54:4) 	BRLGHZXETDWABO-NOFIOOQLSA-N	9544255	CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCC/C=C\C/C=C\C/C=C\CC)OC(=O)CCCCCCC/C=C\CCCCCCCC	0.030897	1.0934
TG (50:3) 	UFHNZOACKFBCOM-YXKNDSBASA-N	25240357	CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCC/C=C\CCCCCC)OC(=O)CCCCCCC/C=C\CCCCCC	0.05253	1.5153
TG (53:2) 	RSINITWKVQRWSZ-RFVLVDBCSA-N	9544102	CCCCCCCCCCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCC/C=C\C/C=C\CCCC)OC(=O)CCCCCCCCCCCCCCCCC	0.057533	1.1339
TG (51:2) 	NSNSZGBCOIKUBU-SZOKBDNISA-N	9544013	CCCCCCCCCCCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCC/C=C\CCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCCC	0.064231	1.2439
DG (36:2) 	AFSHUZFNMVJNKX-LLWMBOQKSA-N	9543716	CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](CO)OC(=O)CCCCCCC/C=C\CCCCCCCC	0.072356	1.0343
TG (51:1) 	OZAXLAGNPZMZAD-BOEMPQCLSA-N	9544006	CCCCCCCCCCCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCC/C=C\CCCCCCC)OC(=O)CCCCCCCCCCCCCCCC	0.080282	1.1086
TG (54:3) 	PHYFQTYBJUILEZ-IUPFWZBJSA-N	5497163	CCCCCCCC/C=C\CCCCCCCC(=O)OCC(OC(=O)CCCCCCC/C=C\CCCCCCCC)COC(=O)CCCCCCC/C=C\CCCCCCCC	0.080578	1.0535
9-HOTE	YUPHIKSLGBATJK-OBKPXJAFSA-N	53480359	CC/C=C\CC/C=C/C=C(\CCCCCCCC(=O)O)/O	0.086996	1.028
linoleic acid	OYHQOLUKZRVURQ-HZJYTTRNSA-N	5280450	CCCCC/C=C\C/C=C\CCCCCCCC(=O)O	0.087019	1.3619
TG (50:5) 	AFTBPUXZTDLRSP-UDQIKIEDSA-N	9544045	CCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCC/C=C\C/C=C\C/C=C\CC)OC(=O)CCCCCCC/C=C\CCCCCC	0.095894	1.5564
15-deoxy PGJ2	VHRUMKCAEVRUBK-GODQJPCRSA-N	5311211	CCCCC/C=C/C=C/1\[C@H](C=CC1=O)C/C=C\CCCC(=O)O	0.11094	0.96733
TG (58:6) 	GSNFRUMSEHHPSY-LCXCSEBNSA-N	9544977	CCCCCCCC/C=C\CCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCC/C=C\CCCCCCCC)COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC	0.11486	1.1173
TG (54:2) 	WUUWGORPQFKFQN-XDVOZUNOSA-N	56938183	CCCCCCCCCCCCCCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCCC/C=C\C/C=C\CCCCC	0.12166	1.0419
TG (56:7) 	DODZUDCYRVWEOJ-GKZBLMSTSA-N	9544695	CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC[C@H](COC(=O)CCCCCC/C=C\C/C=C\C/C=C\CCCCC)OC(=O)CCCCCCC/C=C\C/C=C\CCCCC	0.1284	1.194
TG (56:6) 	ZTNDRFCABXFVMY-WJTCTALZSA-N	9544625	CCCCC/C=C\C/C=C\CCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCC/C=C\C/C=C\CCCCC)OC(=O)CCCCCCC/C=C\C/C=C\CCCCC	0.14032	1.1395
TG (52:1) 	NPCZZYKITFKRQZ-RFBIWTDZSA-N	5365005	CCCCCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COC(=O)CCCCCCC/C=C\CCCCCCCC	0.14397	1.209
TG (56:3) 	QXMHHXQBBKDSSL-BAQZNRHJSA-N	9544447	CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCC/C=C\CCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCCCC	0.15904	1.1991
TG (50:2) 	QEZWFCZNHWUARW-XQCAQTCHSA-N	9544010	CCCCCCCCCCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCC/C=C\CCCCCC)OC(=O)CCCCCCC/C=C\CCCCCC	0.17128	1.0256
Palmitoleic acid	SECPZKHBENQXJG-FPLPWBNLSA-N	445638	CCCCCC/C=C\CCCCCCCC(=O)O	0.18097	1.0276
TG (58:9) 	RVXFSLZMZOFGEQ-SWIIBWKZSA-N	9545200	CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC	0.18447	1.224
TG (49:1) 	VYYGQDOPVVYUKW-UKFBYESTSA-N	9543991	CCCCCCCCCCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCC/C=C\CCCCCCC)OC(=O)CCCCCCCCCCCCCCC	0.18588	1.0767
TG (49:2) 	QZYSUBAQYSVFNX-PSMULLBHSA-N	9543993	CCCCCCCCCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCC/C=C\CCCCCC)OC(=O)CCCCCCC/C=C\CCCCCC	0.19158	1.2608
TG (42:2) 	IDWYMMYRNPSLDA-NNBKTNTFSA-N	56937031	CCCCCCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCC/C=C\CCCCCC)OC(=O)CCCCCCC/C=C\CCCC	0.20255	1.4534
TG (56:5) 	UHEJWASONFIROS-YPSHDQQVSA-N	25240380	CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCC/C=C\C/C=C\CCCCC)OC(=O)CCCCCCC/C=C\C/C=C\CCCCC	0.20491	1.1925
9-KODE	LUZSWWYKKLTDHU-ZJHFMPGASA-N	9839084	CCCCC/C=C\C=C\C(=O)CCCCCCCC(=O)O	0.20874	1.1167
13-KODE	JHXAZBBVQSRKJR-BSZOFBHHSA-N	6446027	CCCCCC(=O)/C=C/C=C\CCCCCCCC(=O)O	0.21421	1.1194
TG (56:4) 	YONCDTJKIZDSKQ-IYASBODOSA-N	25240379	CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCC/C=C\CCCCCCCC)OC(=O)CCCCCCC/C=C\C/C=C\CCCCC	0.22741	1.0656
5,6-DiHETrE	GFNYAPAJUNPMGH-QNEBEIHSSA-N	5283142	CCCCC/C=C\C/C=C\C/C=C\CC(C(CCCC(=O)O)O)O	0.23343	1.0447
9,10-DiHODE	QRHSEDZBZMZPOA-ZJSQCTGTSA-N	16061066	CC/C=C\C/C=C\CC(C(CCCCCCCC(=O)O)O)O	0.24128	0.88353
TG (54:1) 	YFFIQXNTTVSKJC-NZEOUKRFSA-N	16058371	CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCC/C=C\CCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC	0.24535	0.91268
9-HODE	NPDSHTNEKLQQIJ-ZJHFMPGASA-N	5282944	CCCCC/C=C\C=C\C(CCCCCCCC(=O)O)O	0.24588	1.1852
13S-HODE	HNICUWMFWZBIFP-IRQZEAMPSA-N	6443013	CCCCC[C@@H](/C=C/C=C\CCCCCCCC(=O)O)O	0.25461	1.2171
8,15-DiHETE	NNPWRKSGORGTIM-RCDCWWQHSA-N	53480358	CCCCCC(/C=C/C=C\C=C\C(C/C=C\CCCC(=O)O)O)O	0.25826	0.7741
TG (54:5) B 	OEJXMJPFOHYSIU-GRLFFVHSSA-N	9544294	CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCC/C=C\C/C=C\C/C=C\CC)OC(=O)CCCCCCC/C=C\CCCCCCCC	0.27116	1.1812
TG (40:1) 	GKTDXHXZBFIZJU-OIJJMQLXSA-N	56936435	CCCCCCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCC/C=C\CCCCCC)OC(=O)CCCCCCCCCCC	0.27302	1.2659
